season,week,game_id,play_id,defteam,player_name,player_id,event_type,down,ydstogo,yds_gained,first_down,epa
2024,6,2024_06_LAC_DEN,3527.0,DEN,J.Strnad,00-0036428,sack,3.0,9.0,,0.0,-1.029238267801702
2024,6,2024_06_PIT_LV,1420.0,LV,D.Deablo,00-0036990,sack,2.0,10.0,,0.0,-2.2473159845685586
2024,6,2024_06_TB_NO,3812.0,NO,W.Gay,00-0036362,sack,2.0,1.0,,0.0,-2.089549786876887
2024,6,2024_06_TB_NO,4264.0,TB,L.David,00-0029562,sack,1.0,10.0,,0.0,-1.440463179256767
2024,7,2024_07_CAR_WAS,995.0,WAS,F.Luvu,00-0034302,sack,3.0,5.0,,0.0,-1.5382974564563483
2024,7,2024_07_DEN_NO,697.0,DEN,C.Barton,00-0035672,sack,1.0,10.0,,0.0,-5.421116031007841
2024,7,2024_07_DEN_NO,3995.0,DEN,J.Strnad,00-0036428,sack,1.0,10.0,,0.0,-0.45463219546945766
2024,7,2024_07_DET_MIN,343.0,MIN,I.Pace,00-0038807,sack,3.0,3.0,,0.0,-1.7548433607444167
2024,7,2024_07_DET_MIN,3481.0,DET,J.Campbell,00-0039018,sack,2.0,7.0,,0.0,-0.6190136192599311
2024,7,2024_07_DET_MIN,3510.0,DET,M.Rodriguez,00-0037289,sack,3.0,7.0,,0.0,-1.3753667719119838
2024,7,2024_07_DET_MIN,4170.0,DET,T.Nowaske,00-0038660,sack,1.0,15.0,,0.0,-0.19234256143681705
2024,7,2024_07_HOU_GB,2181.0,GB,Er.Wilson,00-0033336,sack,3.0,5.0,,0.0,-2.1082220706157386
2024,7,2024_07_HOU_GB,2878.0,GB,Er.Wilson,00-0033336,sack,3.0,8.0,,0.0,-2.168531358940527
2024,7,2024_07_MIA_IND,595.0,IND,J.Carlies,00-0039377,sack,2.0,2.0,,0.0,-2.02046872273786
2024,7,2024_07_NE_JAX,321.0,JAX,D.Lloyd,00-0037244,sack,1.0,10.0,,0.0,-1.1686860966729
2024,7,2024_07_PHI_NYG,1030.0,PHI,N.Dean,00-0037615,sack,1.0,10.0,,0.0,-1.4188670204021037
2024,7,2024_07_PHI_NYG,2998.0,PHI,N.Dean,00-0037615,sack,3.0,7.0,,0.0,-2.4163666123058647
2024,8,2024_08_CHI_WAS,2292.0,CHI,T.Edwards,00-0035386,sack,1.0,10.0,,0.0,-1.3455405582208186
2024,8,2024_08_DAL_SF,4192.0,DAL,D.Overshown,00-0038556,sack,2.0,3.0,,0.0,-1.295311348279938
2024,8,2024_08_GB_JAX,3164.0,GB,E.Cooper,00-0039850,sack,3.0,7.0,,0.0,-5.052072944294196
2024,8,2024_08_KC_LV,890.0,KC,D.Tranquill,00-0035262,sack,1.0,10.0,,0.0,-1.182991661131382
2024,8,2024_08_NYJ_NE,3013.0,NE,C.Elliss,00-0036813,sack,3.0,7.0,,0.0,-1.45119202436012
2024,8,2024_08_TEN_DET,1697.0,DET,A.Anzalone,00-0033914,sack,1.0,10.0,,0.0,-1.398049169452861
2024,9,2024_09_DAL_ATL,2874.0,ATL,K.Elliss,00-0035316,sack,1.0,20.0,,0.0,-0.5907932182308286
2024,9,2024_09_DEN_BAL,3537.0,BAL,T.Simpson,00-0038504,sack,3.0,1.0,,0.0,-2.954899138014298
2024,9,2024_09_DEN_BAL,3887.0,BAL,M.Harrison,00-0036280,sack,2.0,3.0,,0.0,-1.9373131901666056
2024,9,2024_09_HOU_NYJ,2870.0,NYJ,J.Sherwood,00-0036500,sack,3.0,11.0,,0.0,-2.1185482380318663
2024,9,2024_09_HOU_NYJ,3495.0,NYJ,J.Sherwood,00-0036500,sack,3.0,1.0,,0.0,-1.1021899900515564
2024,9,2024_09_LAC_CLE,2012.0,CLE,D.Bush,00-0035525,sack,1.0,10.0,,0.0,-0.57358337106416
2024,10,2024_10_DEN_KC,3000.0,KC,N.Bolton,00-0036621,sack,3.0,11.0,,0.0,-1.8778434644918889
2024,10,2024_10_MIN_JAX,1810.0,MIN,B.Cashman,00-0035276,sack,2.0,9.0,,0.0,-1.3288256629602984
2024,10,2024_10_MIN_JAX,1995.0,MIN,I.Pace,00-0038807,sack,1.0,10.0,,0.0,-0.44285633269464597
2024,10,2024_10_NE_CHI,3985.0,NE,J.Tavai,00-0035240,sack,1.0,10.0,,0.0,-1.0484445036854595
2024,10,2024_10_NYJ_ARI,1489.0,NYJ,Qi.Williams,00-0035680,sack,1.0,10.0,,0.0,-1.5055453915847465
2024,10,2024_10_PHI_DAL,298.0,DAL,D.Overshown,00-0038556,sack,2.0,20.0,,0.0,-1.817706503206864
2024,10,2024_10_PHI_DAL,1222.0,DAL,D.Overshown,00-0038556,sack,2.0,9.0,,0.0,-1.9838400960434228
2024,10,2024_10_PIT_WAS,645.0,WAS,F.Luvu,00-0034302,sack,1.0,10.0,,0.0,-1.4797709193080664
2024,10,2024_10_TEN_LAC,753.0,LAC,D.Henley,00-0038553,sack,2.0,7.0,,0.0,-0.867168405558914
2024,11,2024_11_KC_BUF,430.0,BUF,T.Bernard,00-0037254,sack,3.0,5.0,,0.0,-1.7668744884431362
2024,11,2024_11_MIN_TEN,214.0,MIN,B.Cashman,00-0035276,sack,3.0,6.0,,0.0,-2.225630722241476
2024,11,2024_11_MIN_TEN,2363.0,TEN,K.Murray,00-0036441,sack,3.0,5.0,,0.0,-1.3917840924113989
2024,11,2024_11_WAS_PHI,595.0,WAS,F.Luvu,00-0034302,sack,3.0,8.0,,0.0,-1.4036360322497785
2024,11,2024_11_WAS_PHI,1087.0,WAS,F.Luvu,00-0034302,sack,1.0,10.0,,0.0,-1.7927027267869562
2024,12,2024_12_ARI_SEA,134.0,SEA,T.Knight,00-0039815,sack,3.0,14.0,,0.0,-1.1702457726933062
2024,12,2024_12_DAL_WAS,1966.0,DAL,D.Overshown,00-0038556,sack,2.0,8.0,,0.0,-0.4277100505423732
2024,12,2024_12_DET_IND,1757.0,IND,Z.Franklin,00-0034431,sack,1.0,10.0,,0.0,-0.5238925551529974
2024,12,2024_12_KC_CAR,3999.0,CAR,J.Jewell,00-0034368,sack,2.0,6.0,,0.0,-1.1812510505551472
2024,12,2024_12_PHI_LA,2007.0,PHI,N.Dean,00-0037615,sack,2.0,5.0,,0.0,-0.8662371026584879
2024,12,2024_12_PIT_CLE,481.0,CLE,J.Hicks,00-0032129,sack,2.0,4.0,,0.0,-1.332951286341995
2024,12,2024_12_TEN_HOU,1894.0,HOU,A.Al-Shaair,00-0035166,sack,3.0,9.0,,0.0,-1.6449687816784717
2024,13,2024_13_ARI_MIN,1048.0,ARI,K.White,00-0034375,sack,3.0,4.0,,0.0,-2.346699185669422
2024,13,2024_13_ARI_MIN,1666.0,ARI,Ma.Wilson,00-0035144,sack,3.0,6.0,,0.0,-1.666657134200783
2024,13,2024_13_ARI_MIN,2650.0,ARI,Ma.Wilson,00-0035144,sack,2.0,9.0,,0.0,-1.643173111602664
2024,13,2024_13_IND_NE,2056.0,IND,Z.Franklin,00-0034431,sack,3.0,3.0,,0.0,-1.1776685692417561
2024,13,2024_13_LAC_ATL,753.0,ATL,K.Elliss,00-0035316,sack,2.0,8.0,,0.0,-1.676485046686139
2024,13,2024_13_MIA_GB,3421.0,GB,Q.Walker,00-0037074,sack,4.0,1.0,,0.0,-4.405671307700686
2024,13,2024_13_NYG_DAL,2737.0,DAL,E.Kendricks,00-0031554,sack,3.0,2.0,,0.0,-4.844156050821766
2024,13,2024_13_SEA_NYJ,2822.0,NYJ,Qi.Williams,00-0035680,sack,4.0,1.0,,0.0,-5.3412392772734165
2024,13,2024_13_TB_CAR,3139.0,CAR,J.Jewell,00-0034368,sack,3.0,9.0,,0.0,-1.8438589675351977
2024,13,2024_13_TB_CAR,4814.0,CAR,T.Wallace,00-0039347,sack,2.0,6.0,,0.0,-1.7987902954919264
2024,13,2024_13_TEN_WAS,2016.0,WAS,F.Luvu,00-0034302,sack,1.0,10.0,,0.0,-0.687746005714871
2024,14,2024_14_ATL_MIN,2342.0,ATL,K.Elliss,00-0035316,sack,2.0,14.0,,0.0,-1.611570900771767
2024,14,2024_14_CAR_PHI,333.0,CAR,J.Jewell,00-0034368,sack,1.0,10.0,,0.0,-1.407646840205416
2024,14,2024_14_CAR_PHI,646.0,PHI,Z.Baun,00-0036418,sack,3.0,7.0,,0.0,-2.174633565591648
2024,14,2024_14_CHI_SF,946.0,CHI,T.Edwards,00-0035386,sack,1.0,10.0,,0.0,-1.2257238591555506
2024,14,2024_14_CIN_DAL,4098.0,DAL,M.Liufau,00-0039352,sack,3.0,19.0,,0.0,-1.4373867148533463
2024,14,2024_14_LAC_KC,3496.0,KC,N.Bolton,00-0036621,sack,1.0,10.0,,0.0,-1.4009375830646604
