season,player_name,defteam,3rd_down_stop,4th_down_stop,qb_hit,sack,tackle_for_loss,forced_fumble,total_impact_plays,drive_stopper_score
2025,T.Edmunds,CHI,7,1,3,1,3,0,15,29.5
2025,J.Elliss,DEN,3,0,4,2,6,0,15,29.0
2025,A.Nelson,TB,3,1,4,3,3,0,14,28.0
2025,S.Thompson,BUF,2,1,2,1,8,0,14,28.0
2025,I.Stalbird,NO,7,0,3,2,2,0,14,27.5
2025,J.Phillips,PHI,2,0,7,2,4,0,15,27.5
2025,C.Robinson,MIA,0,1,6,3,4,0,14,27.0
2025,K.Murray,DAL,6,0,3,1,4,0,14,27.0
2025,R.Spillane,NE,7,1,0,1,4,0,13,27.0
2025,J.Stewart,LA,2,0,6,3,3,0,14,26.5
2025,B.Carter,CIN,9,2,1,0,1,0,13,26.5
2025,B.Browning,ARI,3,0,5,2,4,0,14,26.5
2025,I.McDuffie,GB,4,3,3,0,3,0,13,26.0
2025,A.Ebiketie,ATL,1,0,6,2,5,0,14,26.0
2025,E.Roberts,LV,6,0,1,0,6,0,13,25.5
2025,C.Rumph,NO,3,1,4,2,3,0,13,25.5
2025,T.Wallace,CAR,2,0,4,2,5,0,13,25.0
2025,Q.Williams,NYJ,3,0,2,2,5,0,12,24.0
2025,S.James,DAL,5,0,5,1,2,0,13,24.0
2025,T.Knight,SEA,2,0,2,2,6,0,12,24.0
2025,T.Buchanan,BAL,4,1,2,0,5,0,12,23.5
2025,T.Bernard,BUF,3,0,2,0,7,0,12,23.0
2025,C.Braswell,TB,3,0,4,1,4,0,12,22.5
2025,C.Barton,TEN,4,1,1,1,4,0,11,22.5
2025,T.Bethune,SF,5,0,1,1,4,0,11,22.0
2025,P.Werner,NO,2,0,3,2,4,0,11,21.5
2025,L.Chenal,KC,4,1,3,1,2,0,11,21.5
2025,C.Elliss,NE,3,0,6,1,2,0,12,21.5
2025,D.Flannigan-Fowles,NYG,4,1,1,1,3,0,10,20.5
2025,T.Dye,LAC,3,0,1,1,5,0,10,20.0
2025,G.Pratt,IND,5,0,0,0,5,0,10,20.0
2025,J.Adams,LV,3,0,2,1,4,0,10,19.5
2025,R.Harrison,ATL,3,0,3,2,2,0,10,19.5
2025,I.Pace,MIN,2,0,6,1,2,0,11,19.5
2025,E.Speed,HOU,5,0,2,0,3,0,10,19.0
2025,W.Gay,MIA,2,0,2,2,3,0,9,18.0
2025,D.Deablo,ATL,4,0,0,0,5,0,9,18.0
2025,F.Warner,SF,7,0,0,0,2,0,9,18.0
2025,A.Davis-Gaither,ARI,5,1,1,0,2,0,9,18.0
2025,C.Simon,ARI,6,0,1,0,2,0,9,17.5
2025,Qu.Williams,NYJ,2,0,3,1,3,0,9,17.0
2025,Q.Robinson,DEN,0,0,4,1,4,0,9,16.5
2025,T.Edwards,CHI,4,0,3,0,2,0,9,16.5
2025,T.Nowaske,DET,2,1,2,1,2,0,8,16.0
2025,B.Dupree,LAC,1,0,3,2,2,0,8,15.5
2025,Ma.Wilson,ARI,4,0,1,0,3,0,8,15.5
2025,C.Robinson,SF,5,1,0,0,1,0,7,14.5
2025,P.Umanmielen,CAR,1,0,4,1,2,0,8,14.5
2025,J.Tavai,NE,2,1,0,0,4,0,7,14.5
2025,J.Williams,TEN,2,0,1,1,3,0,7,14.0
2025,O.Speights,LA,6,0,0,0,1,0,7,14.0
2025,D.Jackson,CHI,2,0,1,1,3,0,7,14.0
2025,Z.Smith,PHI,2,0,2,1,2,0,7,13.5
2025,D.Greenlaw,DEN,2,0,2,1,2,0,7,13.5
2025,J.Uche,PHI,1,0,3,1,2,0,7,13.0
2025,N.Sewell,CHI,2,1,0,0,3,0,6,12.5
2025,D.Williams,BUF,3,0,3,0,1,0,7,12.5
2025,D.Muasau,NYG,2,0,1,1,2,0,6,12.0
2025,E.Kendricks,SF,3,0,0,0,3,0,6,12.0
2025,P.Jones,CAR,1,0,2,1,2,0,6,11.5
2025,J.Campbell,PHI,3,0,1,0,2,0,6,11.5
2025,B.Ojulari,ARI,1,0,3,1,1,0,6,11.0
2025,J.Trotter,PHI,3,0,2,0,1,0,6,11.0
2025,D.Perryman,LAC,0,1,0,0,4,0,5,10.5
2025,J.Baker,CLE,1,0,0,1,3,0,5,10.5
2025,M.Judon,MIA,2,0,3,0,1,0,6,10.5
2025,Z.Barnes,NYG,1,0,1,1,2,0,5,10.0
2025,T.Jones,TEN,1,0,1,1,2,0,5,10.0
2025,P.O'Connell,SEA,2,0,1,1,1,0,5,10.0
2025,M.Harrison,PIT,3,0,0,0,2,0,5,10.0
2025,M.Hoecht,BUF,1,0,2,1,1,0,5,9.5
2025,O.Oweh,BAL,0,0,5,0,1,0,6,9.5
2025,M.Liufau,DAL,0,0,3,1,1,0,5,9.0
2025,J.Andreessen,BUF,1,0,2,0,2,0,5,9.0
2025,J.Bertrand,ATL,2,1,0,0,1,0,4,8.5
2025,G.Pratt,LV,3,0,0,0,1,0,4,8.0
2025,C.Chambliss,MIN,1,0,1,1,1,0,4,8.0
2025,A.Keys,MIN,1,0,1,1,1,0,4,8.0
2025,M.Diabate,CLE,1,0,0,0,3,0,4,8.0
2025,T.Batty,MIN,2,0,0,0,2,0,4,8.0
2025,D.Phillips,LAC,0,0,2,1,1,0,4,7.5
2025,P.Johnson,PHI,0,0,2,1,1,0,4,7.5
2025,J.Turner,DEN,3,0,1,0,0,0,4,7.5
2025,A.Ajiake,IND,2,0,2,0,0,0,4,7.0
2025,C.Oliver,GB,1,0,2,0,1,0,4,7.0
2025,M.Walker,NYJ,1,1,0,0,1,0,3,6.5
2025,T.Eichenberg,LV,1,1,0,0,1,0,3,6.5
2025,C.Holcomb,PIT,3,0,0,0,0,0,3,6.0
2025,J.Burch,ARI,0,0,1,1,1,0,3,6.0
2025,J.Magee,WAS,0,0,0,0,3,0,3,6.0
2025,L.Wilson,CIN,3,0,0,0,0,0,3,6.0
2025,O.Burks,CIN,2,0,0,0,1,0,3,6.0
2025,D.Overshown,DAL,2,0,0,0,1,0,3,6.0
2025,K.Barnes,CAR,1,0,1,0,1,0,3,5.5
2025,O.Oladejo,TEN,0,0,1,0,2,0,3,5.5
2025,M.Mapu,NE,1,1,0,0,0,0,2,4.5
2025,V.Miller,JAX,2,0,0,0,0,0,2,4.0
2025,G.Stuard,DET,1,0,0,0,1,0,2,4.0
2025,G.Wallow,SF,2,0,0,0,0,0,2,4.0
2025,D.Jones,TB,2,0,0,0,0,0,2,4.0
2025,C.McDonald,KC,1,0,0,0,1,0,2,4.0
2025,Z.Cunningham,DET,1,0,0,0,1,0,2,4.0
2025,S.Dolac,LA,0,0,0,0,2,0,2,4.0
2025,J.Sanborn,DAL,1,0,0,0,1,0,2,4.0
2025,T.Reeder,LA,2,0,0,0,0,0,2,4.0
2025,L.Wilson,DAL,2,0,0,0,0,0,2,4.0
2025,M.Wax,LAC,1,0,0,0,1,0,2,4.0
2025,J.Giles-Harris,CIN,2,0,0,0,0,0,2,4.0
2025,K.Britt,MIA,1,0,1,0,0,0,2,3.5
2025,D.Ojabo,BAL,1,0,1,0,0,0,2,3.5
2025,C.Cherelus,CAR,1,0,1,0,0,0,2,3.5
2025,A.Ojulari,PHI,0,0,1,0,1,0,2,3.5
2025,J.Reeves-Maybin,CHI,1,0,1,0,0,0,2,3.5
2025,Q.Bell,MIA,1,0,1,0,0,0,2,3.5
2025,A.Ogbongbemiga,CHI,0,1,0,0,0,0,1,2.5
2025,C.Muma,NE,1,0,0,0,0,0,1,2.0
2025,B.Johnson,IND,0,0,0,0,1,0,1,2.0
2025,J.Johnson,GB,1,0,0,0,0,0,1,2.0
2025,C.Murphy,LAC,1,0,0,0,0,0,1,2.0
2025,D.Clark,DAL,1,0,0,0,0,0,1,2.0
2025,D.Stutsman,NO,1,0,0,0,0,0,1,2.0
2025,B.Martin-Scott,CAR,0,0,0,0,1,0,1,2.0
2025,J.Hummel,BAL,0,0,0,0,1,0,1,2.0
2025,J.Hill,HOU,0,0,0,0,1,0,1,2.0
2025,J.Higgins,BAL,1,0,0,0,0,0,1,2.0
2025,T.Hopper,GB,0,0,0,0,1,0,1,2.0
2025,M.Rodriguez,DET,0,0,0,0,1,0,1,2.0
2025,M.McCrary-Ball,NYJ,0,0,0,0,1,0,1,2.0
2025,K.Jenkins,BUF,1,0,0,0,0,0,1,2.0
2025,N.Hampton,LA,1,0,0,0,0,0,1,2.0
2025,F.Oladejo,TEN,0,0,1,0,0,0,1,1.5
2025,M.McFadden,NYG,0,0,1,0,0,0,1,1.5
2025,S.Heyward,CIN,0,0,1,0,0,0,1,1.5
